acci_ref,loc_east_osgr,loc_nor_osgr,longitude,latitude,date,_months_,day_of_week,time,hour_of_day,time_category,loc_auth_ons_distr,first_road_class,first_road_num,road_type,speed_limit,junc_detail,sec_road_class,ped_cross_hum_con,ped_cross_phy_facil,light_con,weath_con,road_surf_con,spec_con_site,carri_haz,urb_or_rur_area,did_poli_offi_att,tru_road_flag,lsoa_of_acc_loc,num_of_casu,num_of_vehi,acci_severity
451026206,505234,166650,-0.488979,51.389144,3/7/2021,mar,1,15:51:00,15,after,E07000212,4,375,6,30,3,6,0,0,1,1,1,0,0,1,2,2,E01030658,1,2,3
451026215,532550,152054,-0.102025,51.252255,3/7/2021,mar,1,14:50:00,14,after,E07000215,6,0,6,30,0,0,0,0,1,1,1,0,0,2,1,2,E01030815,2,1,3
451026219,507893,170505,-0.449607,51.423296,3/7/2021,mar,1,12:27:00,12,after,E07000213,3,308,3,40,6,6,0,0,1,1,1,0,0,1,1,2,E01030705,1,2,2
451026235,526934,152967,-0.182131,51.261738,3/7/2021,mar,1,17:50:00,17,after,E07000211,6,0,6,60,0,0,0,0,1,1,1,0,0,2,1,2,E01030625,1,1,3
451026236,529481,150725,-0.146457,51.241016,3/7/2021,mar,1,18:11:00,18,eveni,E07000211,6,0,6,40,0,0,0,0,1,1,2,0,0,2,1,2,E01030612,2,2,3
451026557,497937,151020,-0.598102,51.249947,3/2/2021,mar,3,17:49:00,17,after,E07000209,6,0,6,30,3,6,0,0,1,1,1,0,0,1,1,2,E01030493,2,1,3
451026571,502724,166437,-0.525101,51.387689,3/8/2021,mar,2,13:47:00,13,after,E07000212,1,25,3,70,0,0,0,0,1,1,1,0,0,2,1,1,E01030677,4,3,2
451126976,540876,148908,0.015966,51.22199,12/29/2021,dec,4,18:58:00,18,eveni,E07000215,6,0,6,40,9,6,0,0,6,8,2,0,0,2,1,2,E01030832,1,2,2
451026586,504535,162246,-0.500314,51.349687,3/8/2021,mar,2,15:15:00,15,after,E07000212,6,0,9,30,0,0,0,0,1,1,1,0,0,1,1,2,E01030682,1,2,3
451026590,499830,158546,-0.568889,51.317273,3/8/2021,mar,2,19:34:00,19,eveni,E07000217,6,0,6,30,0,0,0,0,4,1,1,0,0,1,1,2,E01030954,3,2,2
451026602,502692,144715,-0.531798,51.192437,3/3/2021,mar,4,14:13:00,14,after,E07000216,4,2128,6,30,0,0,0,0,1,2,2,0,0,2,1,2,E01030863,1,3,3
451026828,532335,143096,-0.108405,51.171798,3/9/2021,mar,3,9:00:00,9,morni,E07000215,6,0,6,30,0,0,0,0,1,1,1,0,2,2,2,2,E01030816,1,1,3
451026867,488619,149308,-0.732001,51.236081,3/9/2021,mar,3,10:30:00,10,morni,E07000209,6,0,6,30,0,0,0,0,1,1,1,4,2,1,1,2,E01030423,1,1,3
451026899,503411,169792,-0.514254,51.417721,3/9/2021,mar,3,8:51:00,8,morni,E07000212,3,320,6,40,0,0,0,8,1,1,1,0,0,1,1,2,E01030686,1,1,1
451026902,510837,165292,-0.408908,51.375872,3/9/2021,mar,3,12:40:00,12,after,E07000207,3,244,6,30,6,6,0,5,1,1,1,0,0,1,1,2,E01030366,1,2,2
